ID,Name,Age,Salary,Department
1,Person_1,58.0,64623.781203460174,Finance
2,Person_2,48.0,65387.14967614598,HR
3,Person_3,,25608.94184943977,Finance
4,Person_4,27.0,56034.41225038131,Finance
5,Person_5,40.0,47489.560319142234,IT
6,Person_6,58.0,,HR
7,Person_7,38.0,35236.703068453986,IT
8,Person_8,42.0,64869.80958047201,IT
9,Person_9,30.0,49755.44822505934,IT
10,Person_10,30.0,53555.513171224324,IT
11,Person_11,43.0,54170.11109663175,IT
12,Person_12,55.0,58324.61857121156,IT
13,Person_13,59.0,47066.008536413385,IT
14,Person_14,43.0,49701.61430640252,HR
15,Person_15,22.0,50951.25784317136,Finance
16,Person_16,41.0,56646.54342749852,IT
17,Person_17,21.0,48597.81502642992,IT
18,Person_18,43.0,49668.065999334554,IT
19,Person_19,49.0,42509.23476556645,IT
20,Person_20,57.0,42216.17992909106,IT
